Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Yannick Gerhardt,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannis Salibur,Attack,3000000.0,-7.0,-11.0,-12.0,-1099.0,-12.2,-3.0,-3.0,-6.0,-3.0,0.0,0.0,-3.0,0.0,-65.0,-54.0,-117.0,-0.18,-0.18,-0.36,-0.18,-0.36
Yassine Benzia,Attack,0.0,7.0,-10.0,-11.0,-586.0,-6.5,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,-49.0,-114.0,-132.0,0.01,-0.15,-0.13,0.01,-0.13
Yaya Sanogo,Attack,1000000.0,6.0,3.0,-2.0,114.0,1.3000000000000007,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,0.0,2.0,-3.0,4.0,-0.0299999999999999,0.17,0.14,-0.0299999999999999,0.14
Yeray Álvarez,Defender,-9000000.0,1.0,23.0,8.0,811.0,9.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,53.0,4.0,165.0,0.12,0.18,0.3,0.12,0.3
Yerry Mina,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoan Cardinale,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoann Andreu,Defender,3250000.0,1.0,9.0,3.0,321.0,3.6000000000000014,-1.0,2.0,1.0,-1.0,0.0,0.0,1.0,0.0,9.0,95.0,6.0,-0.04,0.06,0.0199999999999999,-0.04,0.0199999999999999
Youssef Aït Bennasser,Midfield,-9000000.0,13.0,-15.0,-16.0,-1262.0,-14.0,0.0,2.0,2.0,0.0,0.0,0.0,-2.0,0.0,-33.0,-123.0,9.0,0.0,0.23,0.23,0.0,0.23
Youssef En-Nesyri,Attack,2000000.0,10.0,8.0,17.0,1348.0,15.000000000000004,-3.0,3.0,0.0,-3.0,0.0,-1.0,12.0,0.0,-4.0,147.0,-68.0,-0.2,0.09,-0.11,-0.2,-0.11
Youssouf Sabaly,Defender,-6750000.0,11.0,-4.0,-12.0,-988.0,-11.0,1.0,-4.0,-3.0,1.0,0.0,0.0,1.0,0.0,-90.0,-20.0,-110.0,0.04,-0.1099999999999999,-0.06,0.04,-0.06
Yoël Armougom,Defender,13000000.0,11.0,28.0,31.0,2528.0,28.1,3.0,5.0,8.0,1.0,2.0,2.0,17.0,2.0,45.0,312.0,48.0,0.1,0.17,0.27,0.03,0.2
Yussuf Poulsen,Attack,-10000000.0,-3.0,2.0,4.0,333.0,3.6999999999999993,-4.0,3.0,-1.0,-4.0,0.0,0.0,2.0,0.0,14.0,92.0,-40.0,-0.22,0.12,-0.09,-0.22,-0.09
Yuya Osako,Attack,0.0,2.0,5.0,5.0,525.0,5.799999999999997,-3.0,0.0,-3.0,-3.0,0.0,0.0,4.0,1.0,23.0,14.0,54.0,-0.15,-0.0199999999999999,-0.17,-0.15,-0.17
Yves Bissouma,Midfield,-8000000.0,9.0,-15.0,-14.0,-1325.0,-14.7,-2.0,-1.0,-3.0,-2.0,0.0,0.0,-3.0,0.0,-62.0,-106.0,-51.0,-0.12,-0.06,-0.17,-0.12,-0.17
Yvon Mvogo,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zaydou Youssouf,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zouhair Feddal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ádám Nagy,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ádám Szalai,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Alegría,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Berenguer,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Granell,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro González,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Medrán,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Morata,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Odriozola,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Correa,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
